/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 417: Reward 0.6374310100676854, Steps -1
Episode 418: Reward 0.6374310100676854, Steps -1
Episode 419: Reward 0.6374310100676854, Steps -1
Episode 420: Reward 0.6374310100676854, Steps -1
Episode 421: Reward 0.6374310100676854, Steps -1
Episode 422: Reward 0.6374310100676854, Steps -1
Episode 423: Reward 0.6374310100676854, Steps -1
Episode 424: Reward 0.6374310100676854, Steps -1
Episode 425: Reward 0.6374310100676854, Steps -1
Episode 426: Reward 0.6374310100676854, Steps -1
Episode 427: Reward 0.6374310100676854, Steps -1
Episode 428: Reward 0.6374310100676854, Steps -1
Episode 429: Reward 0.6374310100676854, Steps -1
Episode 430: Reward 0.6374310100676854, Steps -1
Episode 431: Reward 0.6374310100676854, Steps -1
Episode 432: Reward 0.6374310100676854, Steps -1
Episode 433: Reward 0.6374310100676854, Steps -1
Episode 434: Reward 0.6374310100676854, Steps -1
Episode 435: Reward 0.6374310100676854, Steps -1
Episode 436: Reward 0.6374310100676854, Steps -1
Episode 437: Reward 0.6374310100676854, Steps -1
Episode 438: Reward 0.6374310100676854, Steps -1
Episode 439: Reward 0.6374310100676854, Steps -1
Episode 440: Reward 0.6374310100676854, Steps -1
Episode 441: Reward 0.6374310100676854, Steps -1
Episode 442: Reward 0.6374310100676854, Steps -1
Episode 443: Reward 0.6374310100676854, Steps -1
Episode 444: Reward 0.6374310100676854, Steps -1
Episode 445: Reward 0.6374310100676854, Steps -1
Episode 446: Reward 0.6374310100676854, Steps -1
Episode 447: Reward 0.6374310100676854, Steps -1
Episode 448: Reward 0.6374310100676854, Steps -1
Episode 449: Reward 0.6374310100676854, Steps -1
Episode 450: Reward 0.6374310100676854, Steps -1
Episode 451: Reward 0.6374310100676854, Steps -1
Episode 452: Reward 0.6374310100676854, Steps -1
Episode 453: Reward 0.6374310100676854, Steps -1
Episode 454: Reward 0.6374310100676854, Steps -1
Episode 455: Reward 0.6374310100676854, Steps -1
Episode 456: Reward 0.6374310100676854, Steps -1
Episode 457: Reward 0.6374310100676854, Steps -1
Episode 458: Reward 0.6374310100676854, Steps -1
Episode 459: Reward 0.6374310100676854, Steps -1
Episode 460: Reward 0.6374310100676854, Steps -1
Episode 461: Reward 0.6374310100676854, Steps -1
Episode 462: Reward 0.6374310100676854, Steps -1
Episode 463: Reward 0.6374310100676854, Steps -1
Episode 464: Reward 0.6374310100676854, Steps -1
Episode 465: Reward 0.6374310100676854, Steps -1
Episode 466: Reward 0.6374310100676854, Steps -1
Episode 467: Reward 0.6374310100676854, Steps -1
Episode 468: Reward 0.6374310100676854, Steps -1
Episode 469: Reward 0.6374310100676854, Steps -1
Episode 470: Reward 0.6374310100676854, Steps -1
Episode 471: Reward 0.6374310100676854, Steps -1
Episode 472: Reward 0.6374310100676854, Steps -1
Episode 473: Reward 0.6374310100676854, Steps -1
Episode 474: Reward 0.6374310100676854, Steps -1
Episode 475: Reward 0.6374310100676854, Steps -1
Episode 476: Reward 0.6374310100676854, Steps -1
Episode 477: Reward 0.6374310100676854, Steps -1
Episode 478: Reward 0.6374310100676854, Steps -1
Episode 479: Reward 0.6374310100676854, Steps -1
Episode 480: Reward 0.6374310100676854, Steps -1
Episode 481: Reward 0.6374310100676854, Steps -1
Episode 482: Reward 0.6374310100676854, Steps -1
Episode 483: Reward 0.6374310100676854, Steps -1
Episode 484: Reward 0.6374310100676854, Steps -1
Episode 485: Reward 0.6374310100676854, Steps -1
Episode 486: Reward 0.6374310100676854, Steps -1
Episode 487: Reward 0.6374310100676854, Steps -1
Episode 488: Reward 0.6374310100676854, Steps -1
Episode 489: Reward 0.6374310100676854, Steps -1
Episode 490: Reward 0.6374310100676854, Steps -1
Episode 491: Reward 0.6374310100676854, Steps -1
Episode 492: Reward 0.6374310100676854, Steps -1
Episode 493: Reward 0.6374310100676854, Steps -1
Episode 494: Reward 0.6374310100676854, Steps -1
Episode 495: Reward 0.6374310100676854, Steps -1
Episode 496: Reward 0.6374310100676854, Steps -1
Episode 497: Reward 0.6374310100676854, Steps -1
Episode 498: Reward 0.6374310100676854, Steps -1
Episode 499: Reward 0.6374310100676854, Steps -1
Episode 500: Reward 0.6374310100676854, Steps -1
  (Down)
SFFF
[41mF[0mHFH
FFFH
HFFG
  (Left)
[41mS[0mFFF
FHFH
FFFH
HFFG
  (Down)
[41mS[0mFFF
FHFH
FFFH
HFFG
  (Down)
[41mS[0mFFF
FHFH
FFFH
HFFG
  (Down)
S[41mF[0mFF
FHFH
FFFH
HFFG
  (Up)
SF[41mF[0mF
FHFH
FFFH
HFFG
  (Right)
SFFF
FH[41mF[0mH
FFFH
HFFG
  (Left)
SFFF
FHFH
FF[41mF[0mH
HFFG
